Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Macro,macro knob 7 end position A,NRPN,3:98,0:127,127,,,,,,,
Macro,macro knob 7 depth A,NRPN,3:99,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 7 destination B,NRPN,3:100,0:70,0,,,,,,,
Macro,macro knob 7 start position B,NRPN,3:101,0:127,0,,,,,,,
Macro,macro knob 7 end position B,NRPN,3:102,0:127,127,,,,,,,
Macro,macro knob 7 depth B,NRPN,3:103,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 7 destination C,NRPN,3:104,0:70,0,,,,,,,
Macro,macro knob 7 start position C,NRPN,3:105,0:127,0,,,,,,,
Macro,macro knob 7 end position C,NRPN,3:106,0:127,127,,,,,,,
Macro,macro knob 7 depth C,NRPN,3:107,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 7 destination D,NRPN,3:108,0:70,0,,,,,,,
Macro,macro knob 7 start position D,NRPN,3:109,0:127,0,,,,,,,
Macro,macro knob 7 end position D,NRPN,3:110,0:127,127,,,,,,,
Macro,macro knob 7 depth D,NRPN,3:111,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 8 position,CC,87,0:127,0,,,,,,,
Macro,macro knob 8 destination A,NRPN,3:112,0:70,0,,,,,,,
Macro,macro knob 8 start position A,NRPN,3:113,0:127,0,,,,,,,
Macro,macro knob 8 end position A,NRPN,3:114,0:127,127,,,,,,,
Macro,macro knob 8 depth A,NRPN,3:115,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 8 destination B,NRPN,3:116,0:70,0,,,,,,,
Macro,macro knob 8 start position B,NRPN,3:117,0:127,0,,,,,,,
Macro,macro knob 8 end position B,NRPN,3:118,0:127,127,,,,,,,
Macro,macro knob 8 depth B,NRPN,3:119,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 8 destination C,NRPN,3:120,0:70,0,,,,,,,
Macro,macro knob 8 start position C,NRPN,3:121,0:127,0,,,,,,,
Macro,macro knob 8 end position C,NRPN,3:122,0:127,127,,,,,,,
Macro,macro knob 8 depth C,NRPN,3:123,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 8 destination D,NRPN,3:124,0:70,0,,,,,,,
Macro,macro knob 8 start position D,NRPN,3:125,0:127,0,,,,,,,
Macro,macro knob 8 end position D,NRPN,3:126,0:127,127,,,,,,,
Macro,macro knob 8 depth D,NRPN,3:127,0:127 (-64:63),64,(0),,,,,,
